DATE,DEXKOUS
2011-11-24,.
2011-11-25,1162.0000
2011-11-28,1152.5000
2011-11-29,1139.5000
2011-11-30,1140.0500
2011-12-01,1126.5500
2011-12-02,1128.0000
2011-12-05,1124.5000
2011-12-06,1128.5000
2011-12-07,1129.0500
2011-12-08,1133.5500
2011-12-09,1146.6000
2011-12-12,1149.2000
2011-12-13,1157.0000
2011-12-14,1158.3000
2011-12-15,1156.9500
2011-12-16,1158.5000
2011-12-19,1175.5000
2011-12-20,1157.0000
2011-12-21,1150.8000
2011-12-22,1154.0000
2011-12-23,1149.0000
2011-12-26,.
2011-12-27,1155.6500
2011-12-28,1157.0000
2011-12-29,1156.5000
2011-12-30,1158.5000
2012-01-02,.
2012-01-03,1143.7000
2012-01-04,1147.3500
2012-01-05,1155.5500
2012-01-06,1160.0000
2012-01-09,1158.8000
2012-01-10,1153.5500
2012-01-11,1159.5500
2012-01-12,1151.2500
2012-01-13,1150.3500
2012-01-16,.
2012-01-17,1142.8500
2012-01-18,1139.0000
2012-01-19,1133.6000
2012-01-20,1133.0000
2012-01-23,1125.4000
2012-01-24,1129.2500
2012-01-25,1129.0500
2012-01-26,1120.1000
2012-01-27,1120.5000
2012-01-30,1128.0000
2012-01-31,1125.7000
2012-02-01,1126.3500
2012-02-02,1115.6500
2012-02-03,1116.0000
2012-02-06,1121.0000
2012-02-07,1117.0000
2012-02-08,1116.4000
2012-02-09,1118.5500
2012-02-10,1123.0000
2012-02-13,1119.9500
2012-02-14,1126.5500
2012-02-15,1124.6500
2012-02-16,1128.6500
2012-02-17,1126.2500
2012-02-20,.
2012-02-21,1124.2500
2012-02-22,1126.4500
2012-02-23,1128.9000
2012-02-24,1124.0000
2012-02-27,1127.2500
2012-02-28,1125.8500
2012-02-29,1117.1000
2012-03-01,1116.0000
2012-03-02,1116.5000
2012-03-05,1116.0000
2012-03-06,1122.6400
2012-03-07,1123.7000
2012-03-08,1117.2000
2012-03-09,1116.0000
2012-03-12,1124.1500
2012-03-13,1123.4500
2012-03-14,1126.1000
2012-03-15,1124.8500
2012-03-16,1125.7000
2012-03-19,1120.3500
2012-03-20,1128.0500
2012-03-21,1130.2500
2012-03-22,1134.6000
2012-03-23,1135.0000
2012-03-26,1133.3500
2012-03-27,1134.4000
2012-03-28,1136.3000
2012-03-29,1139.7500
2012-03-30,1131.4000
2012-04-02,1125.7500
2012-04-03,1122.3500
2012-04-04,1131.2500
2012-04-05,1129.5000
2012-04-06,1131.7500
2012-04-09,1138.1000
2012-04-10,1139.5000
2012-04-11,1143.3500
2012-04-12,1137.4000
