DATE,DEXUSUK
2009-01-26,1.3960
2009-01-27,1.4148
2009-01-28,1.4317
2009-01-29,1.4262
2009-01-30,1.4413
2009-02-02,1.4228
2009-02-03,1.4394
2009-02-04,1.4472
2009-02-05,1.4633
2009-02-06,1.4775
2009-02-09,1.4936
2009-02-10,1.4604
2009-02-11,1.4367
2009-02-12,1.4248
2009-02-13,1.4422
2009-02-16,.
2009-02-17,1.4224
2009-02-18,1.4235
2009-02-19,1.4307
2009-02-20,1.4333
2009-02-23,1.4553
2009-02-24,1.4408
2009-02-25,1.4265
2009-02-26,1.4342
2009-02-27,1.4276
2009-03-02,1.3989
2009-03-03,1.4034
2009-03-04,1.4142
2009-03-05,1.4124
2009-03-06,1.4110
2009-03-09,1.3757
2009-03-10,1.3840
2009-03-11,1.3780
2009-03-12,1.3811
2009-03-13,1.3972
2009-03-16,1.4091
2009-03-17,1.4018
2009-03-18,1.3974
2009-03-19,1.4584
2009-03-20,1.4435
2009-03-23,1.4496
2009-03-24,1.4730
2009-03-25,1.4585
2009-03-26,1.4497
2009-03-27,1.4325
2009-03-30,1.4148
2009-03-31,1.4300
2009-04-01,1.4402
2009-04-02,1.4700
2009-04-03,1.4801
2009-04-06,1.4712
2009-04-07,1.4744
2009-04-08,1.4692
2009-04-09,1.4623
2009-04-10,1.4635
2009-04-13,1.4831
2009-04-14,1.4907
2009-04-15,1.4990
2009-04-16,1.4909
2009-04-17,1.4778
2009-04-20,1.4532
2009-04-21,1.4688
2009-04-22,1.4496
2009-04-23,1.4635
2009-04-24,1.4697
2009-04-27,1.4678
2009-04-28,1.4607
2009-04-29,1.4802
2009-04-30,1.4799
2009-05-01,1.4881
2009-05-04,1.4985
2009-05-05,1.5099
2009-05-06,1.5063
2009-05-07,1.5019
2009-05-08,1.5090
2009-05-11,1.5145
2009-05-12,1.5240
2009-05-13,1.5165
2009-05-14,1.5195
2009-05-15,1.5222
2009-05-18,1.5309
2009-05-19,1.5501
2009-05-20,1.5670
2009-05-21,1.5763
2009-05-22,1.5892
2009-05-25,.
2009-05-26,1.5938
2009-05-27,1.6068
2009-05-28,1.5956
2009-05-29,1.6160
2009-06-01,1.6448
2009-06-02,1.6515
2009-06-03,1.6405
2009-06-04,1.6173
2009-06-05,1.6017
2009-06-08,1.5976
2009-06-09,1.6267
2009-06-10,1.6334
2009-06-11,1.6547
2009-06-12,1.6523
2009-06-15,1.6268
2009-06-16,1.6446
2009-06-17,1.6293
2009-06-18,1.6369
2009-06-19,1.6537
2009-06-22,1.6343
2009-06-23,1.6344
2009-06-24,1.6486
2009-06-25,1.6336
2009-06-26,1.6498
2009-06-29,1.6533
2009-06-30,1.6452
2009-07-01,1.6524
2009-07-02,1.6398
2009-07-03,1.6336
2009-07-06,1.6230
2009-07-07,1.6158
2009-07-08,1.6027
2009-07-09,1.6301
2009-07-10,1.6185
2009-07-13,1.6179
2009-07-14,1.6294
2009-07-15,1.6439
2009-07-16,1.6417
2009-07-17,1.6330
2009-07-20,1.6494
2009-07-21,1.6419
2009-07-22,1.6439
2009-07-23,1.6562
2009-07-24,1.6432
2009-07-27,1.6486
2009-07-28,1.6477
2009-07-29,1.6379
2009-07-30,1.6483
2009-07-31,1.6713
2009-08-03,1.6956
2009-08-04,1.6932
2009-08-05,1.6977
2009-08-06,1.6774
2009-08-07,1.6669
2009-08-10,1.6487
2009-08-11,1.6501
2009-08-12,1.6538
2009-08-13,1.6580
2009-08-14,1.6529
2009-08-17,1.6323
2009-08-18,1.6418
2009-08-19,1.6555
2009-08-20,1.6494
2009-08-21,1.6503
2009-08-24,1.6417
2009-08-25,1.6430
2009-08-26,1.6235
2009-08-27,1.6212
2009-08-28,1.6331
2009-08-31,1.6314
2009-09-01,1.6168
2009-09-02,1.6269
2009-09-03,1.6354
2009-09-04,1.6378
2009-09-07,.
2009-09-08,1.6512
2009-09-09,1.6557
2009-09-10,1.6649
2009-09-11,1.6695
2009-09-14,1.6588
2009-09-15,1.6436
2009-09-16,1.6501
2009-09-17,1.6522
2009-09-18,1.6266
2009-09-21,1.6228
2009-09-22,1.6380
2009-09-23,1.6404
2009-09-24,1.6068
2009-09-25,1.5967
2009-09-28,1.5910
2009-09-29,1.5924
2009-09-30,1.6004
2009-10-01,1.5950
2009-10-02,1.5878
2009-10-05,1.5926
2009-10-06,1.5904
2009-10-07,1.5899
2009-10-08,1.6090
2009-10-09,1.5896
2009-10-12,.
2009-10-13,1.5896
2009-10-14,1.5974
2009-10-15,1.6249
2009-10-16,1.6350
2009-10-19,1.6400
2009-10-20,1.6380
2009-10-21,1.6610
2009-10-22,1.6595
2009-10-23,1.6351
2009-10-26,1.6351
2009-10-27,1.6334
2009-10-28,1.6375
2009-10-29,1.6559
2009-10-30,1.6479
2009-11-02,1.6410
2009-11-03,1.6383
2009-11-04,1.6571
2009-11-05,1.6565
2009-11-06,1.6586
2009-11-09,1.6721
2009-11-10,1.6681
2009-11-11,.
2009-11-12,1.6543
2009-11-13,1.6657
2009-11-16,1.6795
2009-11-17,1.6768
2009-11-18,1.6756
2009-11-19,1.6658
2009-11-20,1.6529
2009-11-23,1.6599
2009-11-24,1.6577
2009-11-25,1.6671
2009-11-26,.
2009-11-27,1.6494
2009-11-30,1.6409
2009-12-01,1.6626
2009-12-02,1.6641
2009-12-03,1.6578
2009-12-04,1.6515
2009-12-07,1.6429
2009-12-08,1.6302
2009-12-09,1.6242
2009-12-10,1.6257
2009-12-11,1.6236
2009-12-14,1.6285
2009-12-15,1.6234
2009-12-16,1.6369
2009-12-17,1.6135
2009-12-18,1.6083
2009-12-21,1.6083
2009-12-22,1.5956
2009-12-23,1.5955
2009-12-24,1.5941
2009-12-25,.
2009-12-28,1.6001
2009-12-29,1.5892
2009-12-30,1.6050
2009-12-31,1.6167
2010-01-01,.
2010-01-04,1.6109
2010-01-05,1.6009
2010-01-06,1.6016
2010-01-07,1.5912
2010-01-08,1.5993
2010-01-11,1.6146
2010-01-12,1.6181
2010-01-13,1.6288
2010-01-14,1.6320
2010-01-15,1.6240
2010-01-18,.
2010-01-19,1.6370
2010-01-20,1.6287
2010-01-21,1.6214
2010-01-22,1.6120
2010-01-25,1.6236
2010-01-26,1.6109
2010-01-27,1.6204
2010-01-28,1.6242
2010-01-29,1.6009
2010-02-01,1.5924
2010-02-02,1.5968
2010-02-03,1.5915
2010-02-04,1.5763
2010-02-05,1.5619
2010-02-08,1.5650
2010-02-09,1.5679
2010-02-10,1.5606
2010-02-11,1.5674
2010-02-12,1.5669
2010-02-15,.
2010-02-16,1.5732
2010-02-17,1.5704
2010-02-18,1.5582
2010-02-19,1.5437
2010-02-22,1.5477
2010-02-23,1.5464
2010-02-24,1.5432
2010-02-25,1.5201
2010-02-26,1.5239
2010-03-01,1.4974
2010-03-02,1.4940
2010-03-03,1.5124
2010-03-04,1.5031
2010-03-05,1.5115
2010-03-08,1.5060
2010-03-09,1.5003
2010-03-10,1.4977
2010-03-11,1.5052
2010-03-12,1.5188
2010-03-15,1.5043
2010-03-16,1.5192
2010-03-17,1.5296
2010-03-18,1.5247
2010-03-19,1.5014
2010-03-22,1.5071
2010-03-23,1.5067
2010-03-24,1.4914
2010-03-25,1.4884
2010-03-26,1.4906
2010-03-29,1.4969
2010-03-30,1.5090
2010-03-31,1.5186
2010-04-01,1.5290
2010-04-02,1.5197
2010-04-05,1.5284
2010-04-06,1.5230
2010-04-07,1.5246
2010-04-08,1.5272
2010-04-09,1.5371
2010-04-12,1.5368
2010-04-13,1.5416
2010-04-14,1.5484
2010-04-15,1.5465
2010-04-16,1.5395
2010-04-19,1.5263
2010-04-20,1.5375
2010-04-21,1.5397
2010-04-22,1.5368
2010-04-23,1.5363
2010-04-26,1.5466
2010-04-27,1.5285
2010-04-28,1.5160
2010-04-29,1.5303
2010-04-30,1.5308
2010-05-03,1.5242
2010-05-04,1.5135
2010-05-05,1.5134
2010-05-06,1.4889
2010-05-07,1.4739
2010-05-10,1.4980
2010-05-11,1.4952
2010-05-12,1.4855
2010-05-13,1.4659
2010-05-14,1.4557
2010-05-17,1.4388
2010-05-18,1.4439
2010-05-19,1.4349
2010-05-20,1.4344
2010-05-21,1.4466
2010-05-24,1.4437
2010-05-25,1.4352
2010-05-26,1.4401
2010-05-27,1.4569
2010-05-28,1.4492
2010-05-31,.
2010-06-01,1.4673
2010-06-02,1.4641
2010-06-03,1.4616
2010-06-04,1.4493
2010-06-07,1.4498
2010-06-08,1.4422
2010-06-09,1.4585
2010-06-10,1.4674
2010-06-11,1.4545
2010-06-14,1.4770
2010-06-15,1.4827
2010-06-16,1.4838
2010-06-17,1.4806
2010-06-18,1.4787
2010-06-21,1.4826
2010-06-22,1.4850
2010-06-23,1.4952
2010-06-24,1.4986
2010-06-25,1.4985
2010-06-28,1.5098
2010-06-29,1.5081
2010-06-30,1.4947
2010-07-01,1.5126
2010-07-02,1.5179
2010-07-05,.
2010-07-06,1.5180
2010-07-07,1.5179
2010-07-08,1.5157
2010-07-09,1.5095
2010-07-12,1.5016
2010-07-13,1.5175
2010-07-14,1.5284
2010-07-15,1.5376
2010-07-16,1.5289
2010-07-19,1.5222
2010-07-20,1.5255
2010-07-21,1.5201
2010-07-22,1.5283
2010-07-23,1.5425
2010-07-26,1.5490
2010-07-27,1.5538
2010-07-28,1.5611
2010-07-29,1.5591
2010-07-30,1.5714
2010-08-02,1.5897
2010-08-03,1.5941
2010-08-04,1.5887
2010-08-05,1.5860
2010-08-06,1.5979
2010-08-09,1.5945
2010-08-10,1.5776
2010-08-11,1.5688
2010-08-12,1.5573
2010-08-13,1.5580
2010-08-16,1.5679
2010-08-17,1.5586
2010-08-18,1.5619
2010-08-19,1.5612
2010-08-20,1.5515
2010-08-23,1.5532
2010-08-24,1.5471
2010-08-25,1.5460
2010-08-26,1.5574
2010-08-27,1.5528
2010-08-30,1.5473
2010-08-31,1.5358
2010-09-01,1.5472
2010-09-02,1.5393
2010-09-03,1.5452
2010-09-06,.
2010-09-07,1.5315
2010-09-08,1.5513
2010-09-09,1.5448
2010-09-10,1.5387
2010-09-13,1.5466
2010-09-14,1.5559
2010-09-15,1.5641
2010-09-16,1.5612
2010-09-17,1.5635
2010-09-20,1.5564
2010-09-21,1.5551
2010-09-22,1.5649
2010-09-23,1.5723
2010-09-24,1.5829
2010-09-27,1.5851
2010-09-28,1.5808
2010-09-29,1.5812
2010-09-30,1.5731
2010-10-01,1.5829
2010-10-04,1.5849
2010-10-05,1.5915
2010-10-06,1.5903
2010-10-07,1.5930
2010-10-08,1.5951
2010-10-11,.
2010-10-12,1.5799
2010-10-13,1.5843
2010-10-14,1.5992
2010-10-15,1.6027
2010-10-18,1.5907
2010-10-19,1.5739
