DATE,DTWEXM
2010-02-04,75.5637
2010-02-05,75.9860
2010-02-08,75.6700
2010-02-09,75.4313
2010-02-10,75.6375
2010-02-11,75.4347
2010-02-12,75.5219
2010-02-15,.
2010-02-16,75.0370
2010-02-17,75.4201
2010-02-18,75.6894
2010-02-19,75.8191
2010-02-22,75.5659
2010-02-23,75.7501
2010-02-24,75.7377
2010-02-25,76.1839
2010-02-26,75.3583
2010-03-01,75.6532
2010-03-02,75.2912
2010-03-03,74.6649
2010-03-04,75.2165
2010-03-05,75.2128
2010-03-08,75.2190
2010-03-09,75.1562
2010-03-10,75.0795
2010-03-11,75.0592
2010-03-12,74.6303
2010-03-15,74.9837
2010-03-16,74.5180
2010-03-17,74.4150
2010-03-18,74.8153
2010-03-19,75.1009
2010-03-22,75.0963
2010-03-23,75.0649
2010-03-24,76.0269
2010-03-25,75.9696
2010-03-26,76.0539
2010-03-29,75.6881
2010-03-30,75.7677
2010-03-31,75.4392
2010-04-01,75.1782
2010-04-02,75.5882
2010-04-05,75.3228
2010-04-06,75.4705
2010-04-07,75.5191
2010-04-08,75.4408
2010-04-09,75.2469
2010-04-12,74.8912
2010-04-13,74.8280
2010-04-14,74.4871
2010-04-15,74.9066
2010-04-16,75.2225
2010-04-19,75.4966
2010-04-20,75.1241
2010-04-21,75.2616
2010-04-22,75.5231
2010-04-23,75.5681
2010-04-26,75.5124
2010-04-27,76.0807
2010-04-28,76.4163
2010-04-29,75.9155
2010-04-30,75.9090
2010-05-03,76.3437
2010-05-04,76.9496
2010-05-05,77.4017
2010-05-06,78.1067
2010-05-07,78.0003
2010-05-10,77.3672
2010-05-11,77.5262
2010-05-12,77.7774
2010-05-13,77.8864
2010-05-14,78.7662
2010-05-17,79.2769
2010-05-18,78.9986
2010-05-19,79.5155
2010-05-20,79.5883
2010-05-21,78.8273
2010-05-24,79.3433
2010-05-25,80.0890
2010-05-26,79.9328
2010-05-27,79.1361
2010-05-28,79.1945
2010-05-31,.
2010-06-01,79.3958
2010-06-02,79.5691
2010-06-03,79.6220
2010-06-04,80.3981
2010-06-07,80.6012
2010-06-08,80.3560
2010-06-09,79.8612
2010-06-10,79.3936
2010-06-11,79.6463
2010-06-14,78.8079
2010-06-15,78.6415
2010-06-16,78.5386
2010-06-17,78.4496
2010-06-18,78.3196
2010-06-21,78.1651
2010-06-22,78.2785
2010-06-23,78.5463
2010-06-24,78.6281
2010-06-25,78.3433
2010-06-28,78.2060
2010-06-29,78.8751
2010-06-30,78.8610
2010-07-01,78.2478
2010-07-02,78.0191
2010-07-05,.
2010-07-06,77.4616
2010-07-07,77.5724
2010-07-08,77.2437
2010-07-09,77.2090
2010-07-12,77.5290
2010-07-13,76.8124
2010-07-14,76.7827
2010-07-15,76.4503
2010-07-16,76.6215
2010-07-19,76.6584
2010-07-20,76.7410
2010-07-21,76.7412
2010-07-22,76.3039
2010-07-23,76.3971
2010-07-26,75.9416
2010-07-27,76.1588
2010-07-28,76.0658
2010-07-29,75.7797
2010-07-30,75.4647
2010-08-02,74.9810
2010-08-03,74.7265
2010-08-04,74.9396
2010-08-05,74.8183
2010-08-06,74.6328
2010-08-09,74.8387
2010-08-10,75.4543
2010-08-11,76.1119
2010-08-12,76.2424
2010-08-13,76.4662
2010-08-16,76.1407
2010-08-17,75.8213
2010-08-18,75.7769
2010-08-19,76.0883
2010-08-20,76.7707
2010-08-23,76.7598
2010-08-24,76.7138
2010-08-25,77.0045
2010-08-26,76.5824
2010-08-27,76.5441
2010-08-30,76.7155
2010-08-31,76.7785
2010-09-01,76.1819
2010-09-02,76.1733
2010-09-03,75.8294
2010-09-06,.
2010-09-07,76.1617
2010-09-08,75.9245
2010-09-09,75.9070
2010-09-10,75.9987
2010-09-13,75.2870
2010-09-14,74.7131
2010-09-15,75.2652
2010-09-16,75.1611
2010-09-17,75.3334
2010-09-20,75.1379
2010-09-21,75.0214
2010-09-22,74.2598
2010-09-23,74.2675
2010-09-24,73.8244
2010-09-27,73.7991
2010-09-28,73.5949
2010-09-29,73.4217
2010-09-30,73.5408
2010-10-01,72.9636
2010-10-04,73.1450
2010-10-05,72.6356
2010-10-06,72.1750
2010-10-07,72.3025
2010-10-08,72.1319
2010-10-11,.
2010-10-12,72.2637
2010-10-13,71.8293
2010-10-14,71.5085
2010-10-15,71.7903
2010-10-18,71.9200
2010-10-19,72.7540
2010-10-20,72.2355
2010-10-21,72.2108
2010-10-22,72.5335
2010-10-25,72.0139
2010-10-26,72.4073
2010-10-27,72.9226
2010-10-28,72.1961
2010-10-29,72.1409
2010-11-01,72.0594
2010-11-02,71.6863
2010-11-03,71.7685
2010-11-04,70.9350
2010-11-05,71.4082
2010-11-08,71.6532
2010-11-09,71.7948
2010-11-10,72.3227
2010-11-11,.
2010-11-12,72.5084
2010-11-15,72.7784
2010-11-16,73.5456
2010-11-17,73.3241
2010-11-18,73.1760
2010-11-19,73.1837
2010-11-22,73.2149
2010-11-23,73.7812
2010-11-24,73.6478
2010-11-25,.
2010-11-26,74.2716
2010-11-29,74.7434
2010-11-30,74.8061
2010-12-01,74.3786
2010-12-02,73.8312
2010-12-03,73.3383
2010-12-06,73.5584
2010-12-07,73.5386
2010-12-08,73.9380
2010-12-09,73.9667
2010-12-10,73.8277
2010-12-13,73.2953
2010-12-14,73.2571
2010-12-15,73.5938
2010-12-16,73.9025
2010-12-17,74.2145
2010-12-20,74.2705
2010-12-21,74.2508
2010-12-22,74.2477
2010-12-23,74.0457
2010-12-24,.
2010-12-27,73.9341
2010-12-28,73.6666
2010-12-29,73.4277
2010-12-30,73.2121
2010-12-31,.
2011-01-03,72.6792
2011-01-04,73.0966
2011-01-05,73.5765
2011-01-06,73.9152
2011-01-07,74.0203
2011-01-10,73.9630
2011-01-11,73.9376
2011-01-12,73.5870
2011-01-13,72.7699
2011-01-14,72.9959
2011-01-17,.
2011-01-18,72.7416
2011-01-19,72.4775
2011-01-20,72.9733
2011-01-21,72.4317
2011-01-24,72.1797
2011-01-25,72.3624
2011-01-26,72.1463
2011-01-27,72.2312
2011-01-28,72.3801
2011-01-31,72.1074
2011-02-01,71.5996
2011-02-02,71.6109
2011-02-03,71.8450
2011-02-04,72.1176
2011-02-07,72.1936
2011-02-08,71.8917
2011-02-09,72.0927
2011-02-10,72.3148
2011-02-11,72.5923
2011-02-14,72.5912
2011-02-15,72.5792
2011-02-16,72.3904
2011-02-17,72.0592
2011-02-18,71.8652
2011-02-21,.
2011-02-22,71.9777
2011-02-23,71.7754
2011-02-24,71.4339
2011-02-25,71.4589
2011-02-28,71.1884
2011-03-01,71.1177
2011-03-02,70.9387
2011-03-03,70.9749
2011-03-04,70.8336
2011-03-07,70.8779
2011-03-08,71.0691
